product_name,product_price,product_rating,people_rated
canterbury Men's Rugged Drill Short Senior,$16.54 - $36.94,4.5 out of 5 stars,35
Amazon Essentials Men's Big & Tall,$26.73 - $41.41,5 out of 5 stars,1
Wrangler Men's Authentics,$29.06 - $70.00,3.7 out of 5 stars,6
Dickies,$42.05 - $95.37,,
Lacoste Men's Fleece Short,$89.95,,
"Men's Casual Military Cargo Pants, 8 Pockets Cotton Wild Combat Tactical Trousers",$67.64 - $67.71,5 out of 5 stars,1
Lacoste Men's Bermuda POPLIN Short,$35.35 - $139.00,,
Amoystyle Men's Elastic Waist Relaxed Fit Long Cargo Shorts Capri Pants,$36.00 - $46.65,4 out of 5 stars,2
2019 Men's Fashion Casual Printing Patchwork Beach Surfing Swimming Loose Short Pants,$1.32 - $6.99,,
BISLEY WORKWEAR Men's Original 8 Pocket Cargo Short,$26.77 - $41.80,5 out of 5 stars,2
Izod Men's Big and Tall Perfromance Solid Hybrid Short,$18.25 - $112.44,,
Dickies Men's 42283 13 INCH Multi Pocket Work Short,$42.92 - $69.99,,
SOUTHPOLE Mens Fleece Jogger Shorts Shorts,$23.52 - $67.13,,
,$249.00,,
A.WAVE Outdoor Sports Lightweight Cargo Short Elastic Waist Flat Front Quick Dry,$17.33 - $43.40,3.8 out of 5 stars,12
Slazenger Mens Woven Shorts,$36.99,,
SRC Recovery Shorts - Black S,$174.95,,
UNIONBAY Mens - Survivor Belted Cargo Short - Reg and Big & Tall Sizes Cargo Shorts,$29.92 - $71.54,4.7 out of 5 stars,4
Dickies Mens DX802 Tough Max Duck Carpenter Short Work Utility Shorts,$40.66 - $89.01,,
Izod Men's Golf SwingFlex Cargo Short,$35.53 - $123.99,,
Basic Model Men's Cotton Relaxed Fit Multi Pocket Outdoor Casual Cargo Shorts (No Belt),$39.95 - $47.95,5 out of 5 stars,2
Calsky Men's Casual Shorts Classic Fit Flat-Front Chino Summer Beach Shorts,$24.27 - $24.30,5 out of 5 stars,1
Dickies Men's 11 Inch Regular Fit Stretch Twill Work Short,$35.55 - $73.11,3 out of 5 stars,1
"Dickies Mens 13 Inch Regular Fit Shadow Stripe Short, Graphite Grey",$32.93 - $60.36,,
Goodthreads Men's,$8.86 - $47.27,,
,$38.15 - $48.61,,
Riders by Lee Men's R3 Short,$25.89 - $79.95,,
"Amazon Essentials Men's Slim-Fit 7"" Print Short",$6.87 - $28.62,,
"Rip Curl Men's Trail Cargo 21"" Walkshort",$17.79 - $79.99,4.1 out of 5 stars,5
canterbury Men's Team Shorts Senior,$19.83 - $44.95,5 out of 5 stars,2
,$33.96 - $46.86,3.4 out of 5 stars,8
Lanbaosi Men's Cotton Cargo Shorts Tactical Multi Pockets Short Lightweight,$21.99 - $35.99,4.3 out of 5 stars,3
Double Plus Open Mens Loose Cotton Cargo Shorts Overall Elastic Waist Twill Pants,$29.99 - $34.99,4 out of 5 stars,1
I.TALYMORN Men Chino Jogger Shorts Elastic Waist for Sport and Work Pants Comfortable,$13.79 - $23.99,4 out of 5 stars,1
canterbury Men's Tactic Short,$26.26 - $48.67,5 out of 5 stars,1
St. Goliath Men's Oath Short,$12.91 - $48.04,,
"Goodthreads Amazon Brand Men's 9"" Inseam Comfort Stretch Linen Cotton Short",$7.67 - $51.26,,
canterbury Kids Long Length Tactic Short,$10.20 - $34.95,3.5 out of 5 stars,3
Dickies Mens 640F 13 Inch Flex Relaxed Fit Multi-Pocket Work Short Shorts,$33.66 - $79.47,,
"Amazon Essentials Men's Classic-Fit 7"" Print Short",$8.15 - $28.62,,
Champion Mens 85699 Middleweight Short Casual Shorts,$31.23,,
Lee Men's Performance Series Extreme Comfort Short,$33.64 - $197.16,4.6 out of 5 stars,5
famuka Mens Casual Cotton Military Style Multi Pocket Cargo Shorts,$29.99,,
Levi's Men's 505 Regular Fit Short,$46.82 - $143.10,,
"BIG BEE Mens Work Cargo Shorts, Cotton Drill Canvas, Multi Pockets,TRADIE,Heavy Duty",,4 out of 5 stars,"More Choices ,1"
Helly Hansen Men's Hh Qd Cargo Shorts 11,$68.19 - $190.80,,
canterbury Men's Panelled Tactic Shorts Senior,$22.26 - $44.95,4 out of 5 stars,1
Quiksilver Men's New Everyday Union Stretch,$44.67 - $158.84,,
,,,
canterbury Men's Rugged Drill Short Senior,$16.54 - $36.94,4.5 out of 5 stars,35
Amazon Essentials Men's Big & Tall,$26.73 - $41.41,5 out of 5 stars,1
Wrangler Men's Authentics,$29.06 - $70.00,3.7 out of 5 stars,6
Dickies,$42.05 - $95.37,,
Lacoste Men's Fleece Short,$89.95,,
"Men's Casual Military Cargo Pants, 8 Pockets Cotton Wild Combat Tactical Trousers",$67.64 - $67.71,5 out of 5 stars,1
Lacoste Men's Bermuda POPLIN Short,$35.35 - $139.00,,
Amoystyle Men's Elastic Waist Relaxed Fit Long Cargo Shorts Capri Pants,$36.00 - $46.65,4 out of 5 stars,2
2019 Men's Fashion Casual Printing Patchwork Beach Surfing Swimming Loose Short Pants,$1.32 - $6.99,,
BISLEY WORKWEAR Men's Original 8 Pocket Cargo Short,$26.77 - $41.80,5 out of 5 stars,2
Izod Men's Big and Tall Perfromance Solid Hybrid Short,$18.25 - $112.44,,
Dickies Men's 42283 13 INCH Multi Pocket Work Short,$42.92 - $69.99,,
SOUTHPOLE Mens Fleece Jogger Shorts Shorts,$23.52 - $67.13,,
,$249.00,,
A.WAVE Outdoor Sports Lightweight Cargo Short Elastic Waist Flat Front Quick Dry,$17.33 - $43.40,3.8 out of 5 stars,12
Slazenger Mens Woven Shorts,$36.99,,
SRC Recovery Shorts - Black S,$174.95,,
UNIONBAY Mens - Survivor Belted Cargo Short - Reg and Big & Tall Sizes Cargo Shorts,$29.92 - $71.54,4.7 out of 5 stars,4
Dickies Mens DX802 Tough Max Duck Carpenter Short Work Utility Shorts,$40.66 - $89.01,,
Izod Men's Golf SwingFlex Cargo Short,$35.53 - $123.99,,
Basic Model Men's Cotton Relaxed Fit Multi Pocket Outdoor Casual Cargo Shorts (No Belt),$39.95 - $47.95,5 out of 5 stars,2
Calsky Men's Casual Shorts Classic Fit Flat-Front Chino Summer Beach Shorts,$24.27 - $24.30,5 out of 5 stars,1
Dickies Men's 11 Inch Regular Fit Stretch Twill Work Short,$35.55 - $73.11,3 out of 5 stars,1
"Dickies Mens 13 Inch Regular Fit Shadow Stripe Short, Graphite Grey",$32.93 - $60.36,,
Goodthreads Men's,$8.86 - $47.27,,
,$38.15 - $48.61,,
Riders by Lee Men's R3 Short,$25.89 - $79.95,,
"Amazon Essentials Men's Slim-Fit 7"" Print Short",$6.87 - $28.62,,
"Rip Curl Men's Trail Cargo 21"" Walkshort",$17.79 - $79.99,4.1 out of 5 stars,5
canterbury Men's Team Shorts Senior,$19.83 - $44.95,5 out of 5 stars,2
,$33.96 - $46.86,3.4 out of 5 stars,8
Lanbaosi Men's Cotton Cargo Shorts Tactical Multi Pockets Short Lightweight,$21.99 - $35.99,4.3 out of 5 stars,3
Double Plus Open Mens Loose Cotton Cargo Shorts Overall Elastic Waist Twill Pants,$29.99 - $34.99,4 out of 5 stars,1
I.TALYMORN Men Chino Jogger Shorts Elastic Waist for Sport and Work Pants Comfortable,$13.79 - $23.99,4 out of 5 stars,1
canterbury Men's Tactic Short,$26.26 - $48.67,5 out of 5 stars,1
St. Goliath Men's Oath Short,$12.91 - $48.04,,
"Goodthreads Amazon Brand Men's 9"" Inseam Comfort Stretch Linen Cotton Short",$7.67 - $51.26,,
canterbury Kids Long Length Tactic Short,$10.20 - $34.95,3.5 out of 5 stars,3
Dickies Mens 640F 13 Inch Flex Relaxed Fit Multi-Pocket Work Short Shorts,$33.66 - $79.47,,
"Amazon Essentials Men's Classic-Fit 7"" Print Short",$8.15 - $28.62,,
Champion Mens 85699 Middleweight Short Casual Shorts,$31.23,,
Lee Men's Performance Series Extreme Comfort Short,$33.64 - $197.16,4.6 out of 5 stars,5
famuka Mens Casual Cotton Military Style Multi Pocket Cargo Shorts,$29.99,,
Levi's Men's 505 Regular Fit Short,$46.82 - $143.10,,
"BIG BEE Mens Work Cargo Shorts, Cotton Drill Canvas, Multi Pockets,TRADIE,Heavy Duty",,4 out of 5 stars,"More Choices ,1"
Helly Hansen Men's Hh Qd Cargo Shorts 11,$68.19 - $190.80,,
canterbury Men's Panelled Tactic Shorts Senior,$22.26 - $44.95,4 out of 5 stars,1
Quiksilver Men's New Everyday Union Stretch,$44.67 - $158.84,,
,,,
